input_text,output_line1,output_line2
3-90-V-103C inlet flow,3-90-V-103C,INLET FLOW
3-90-V-103D inlet flow,3-90-V-103D,INLET FLOW
POTABLE WATER TO DISTRIBUTION,POTABLE WTR,DISTRIBUTION
RAIN WATER TO RAW TREATMENT PKG,RAIN WTR->,RAW TRTMNT
RAW WATER RECEIVER TANK 3-93-TK-001,3-93-TK-001,RAW WTR TNK
Clairified Water to UF System,CLAR WATER,UF SYSTEM
SERVICE WATER TO DISTRIBUTION,SERVICE WTR,DISTRIBUTION
MP STEAM TO MP STEAM HEADER,3-90-P-001AB,DEMI MAKEUP
CONTINUOUS BLOWDOWN FROM 3-82-PU-001,3-82-PU-001,CONT BLODOWN
LP CONDENSATE PUMPS 3-82-P-003A/B DISCHARGE,STM COND->,3-82-DE-001
CONDENSATE TRANSFER PUMPS (PGU) 3-83-P-001 A/B,TO SURF COND,HOT WELL
MP STEAM TO STG PACKAGE 3-83-PU-001,MP STEAM,FROM HEADER
INSTRUMENT AIR TO INSTRUMENT AIR HEADER,TO INSTR AIR,HEADER
LP NITROGEN TO LP NITROGEN DISTRIBUTION,TO LP N2,NETWORK
MAKE-UP WATER TO AMMONIA COOLING TOWER BASIN,MAKE-UP,WATER
CW BLOWDOWN TO EFFLUENT BASIN 3-87-BS-102,3-87-BS-102,WAST WTR PND
DEMINERALIZED WATER PUMPS 3-90-P-001 A/B DISCHARGE,3-90-TK-001,DEMI WTR TNK
POTABLE WATER DISTRIBUTION PUMPS 3-92-P-001 A/B,POTABLE WTR,DISTRIBUTION
CLARIFIERS FEED PUMPS 3-93-P-005 A/B DISCHARGE,RAIN WTR->,RAW TRTMNT
DEMI PACKAGE/SERVICE WATER FEED PUMPS 3-93-P004 A/B,SERVICE WTR,DISTRIBUTION
SUPPORT GAS TO AMMONIA FLARE,FUEL GAS->,FLARE
Fuel Gas assist line to NH3 Flare,FUEL GAS,TO NH3 FLARE
FUEL GAS TO DISTRIBUTION,FUEL GAS,TO DISTRIB
DEMIN. WATER MAKE-UP FROM 3-90-P-001A/B,3-90-P-001AB,DEMI MAKEUP
DEMIN WATER TO 3-82-TK-201,3-82-TK-201,DEMI WATER
MP STEAM FROM HEADER,MP STEAM,FROM HEADER
compressor outlet,COMPRESSOR,OUTLET
After filters outlet flow measure,AFTER FILTER,FLOW
TO LP NITROGEN NETWORK,TO LP N2,NETWORK
COOLING WATER SUPPLY FOR CHEMICALS DILUTION,FRM CHEMICAL,LOADINGS
3-90-K-102A/B OUTLET FLOW,3-90-K-102A,A/B FLOW
DEMI WATER TO DEMI TANK,DEMI WATER->,DEMI TANK
3-90-F-101A INLET FLOW,90F101A,INLET FLOW
3-90-F-101BINLET FLOW,90F101B,INLET FLOW
3-90-P-102A/B OUTLET PRESSURE,3-90P-102A/B,OUT PRESSURE
Raw Water Metering Skid,RAW WATER,METR UNIT
TO SODIUM HYPOCHLORITE TANK,TO NaClO,TANK
TO SULPHURIC ACID STORAGE TANK 3-96-TK-002,TO H2SO4,TANK
TO 50% CAUSTIC SODA STORAGE TANK 3-96-TK-003,3-96-TK-003,50% SODA TNK
FROM 3-971-D BACK END FLARE DRUM,3-971-D BACK,FLARE DRUM
CONTINUOUS BLOWDOWN FROM 3-82-PU-001 TO 3-002-V,3-82-PU-001,CONT BLODOWN
TO WASTEWATER COLLECTION POND 3-87-BS-102,3-87-BS-102,WAST WTR PND
3-90-V-101A INLET FLOW,3-90-V-101A,INLET FLOW
3-90-V-101B INLET FLOW,3-90-V-101B,INLET FLOW
3-90-V-101C INLET FLOW,3-90-V-101C,INLET FLOW
3-90-V-101D INLET FLOW,3-90-V-101D,INLET FLOW
3-90-V-102A INLET FLOW,3-90-V-102A,INLET FLOW
3-90-V-102B INLET FLOW,3-90-V-102B,INLET FLOW
3-90-V-102C INLET FLOW,3-90-V-102C,INLET FLOW
3-90-V-102D INLET FLOW,3-90-V-102D,INLET FLOW
DEMI WATER FOR H2SO4 DILUTION FLOW,DEMI WATR,H2SO4 DL FLW
FROM DEMINERALIZED WATER TANK 3-90-TK-001,3-90-TK-001,DEMI WTR TNK
3-91-P-201A PUMP CONTROL,3-91P-201A,PUMP CTRL
3-91-P-201B PUMP CONTROL,3-91P-201B,PUMP CTRL
3-91-P-202A PUMP CONTROL,3-91P-202A,PUMP CTRL
3-91-P-202B PUMP CONTROL,3-91P-202B,PUMP CTRL
FUEL GAS ASSIST LINE TO AMMONIA FLARE,FUEL GAS->,FLARE
BOILER FEED WATER PUMP  3-82-P-001A,BFW->,3-82-PM-001A
BOILER FEED WATER PUMP  3-82-P-001B,BFW->,3-82-PM-001B
LP CONDENSATE PUMP 3-82-P-003 A/B MCF LINE,STEAM COND->,LP FLASH DRM
MP STEAM FOR WINTERIZATION,LP STEAM->,STEM NETWORK
COOLING WATER FROM PUMP 3-88-P-002 FOR FIRST FILLING,COOL WATER,->CRIT USERS
COOLING WATER PUMP 3-88-P-001 A/B/C MCF LINE,COOL WATER,DISTRIBUTION
RAW WATER PUMP 3-91-P-001 A CHECK VALVE BYPASS,3-91-P-001A,PUMP
RAW WATER PUMP 3-91-P-001 B CHECK VALVE BYPASS,3-91-P-001A,PUMP
COOLING WATER MAKE-UP PUMP 3-93-P-001 A BYPASS,SYNLOOP COOL,WTR MKUP PMP
COOLING WATER MAKE-UP PUMP 3-93-P-001 B  BYPASS,SYNLOOP COOL,WTR MKUP PMP
MULTIMEDIA FILTER FEED PUMP 3-93-P-003A BYPASS,SYNLOOP COOL,WTR MKUP PMP
MULTIMEDIA FILTER FEED PUMP 3-93-P-003B BYPASS,SYNLOOP COOL,WTR MKUP PMP
SODIUM HYPOCHLORITE PUMP 3-96-P-001 A/B MCF LINE,TO NaClO,TANK
SULPHURIC ACID PUMP 3-96-P-002 A/B MCF LINE,TO H2SO4,TANK
CAUSTIC SODA PUMP 3-96-P-003 A/B MCF LINE,3-96-TK-003,50% SODA TNK
TO COOLING WATER DISTRIBUTION,COOL WATER,DISTRIBUTION
FLOW FEED WATER,FLOW FEED,WATER
FLOW FORZED AIR,FLOW FORZED,AIR
FLOW NATURAL GAS,FLOW NATURAL,GAS
PRESSURE NATURAL GAS,PRESSURE,NATURAL GAS
TURBINE CONDENSATE TRANSFER PUMPS 3-83-P-001 A/B,TO SURF COND,HOT WELL
CW BLOWDOWN TO EFFLUENT BASIN3-87-BS-102,3-87-BS-102,WAST WTR PND
CW TO COOLING WATER SIDE STREAM FILTER 3-88-FT-001,3-88P-001ABC,DISCH HEADER
Raw Water to Raw Water Metering Unit,RAW WATER,METR UNIT
Make-up Cooling Water to Raw Water Treatment Package,CLAR WATER,UF SYSTEM
Clairified Water to Raw Water Treatment UF System,CLAR WATER,UF SYSTEM
TO HYPOCHLORITE STORAGE TANK 3-96-TK-001,TO NaClO,TANK
TO CAUSTIC STORAGE TANK 3-96-TK-003,3-96-TK-003,50% SODA TNK
FUEL GAS TO FLARE FOR IGNITION/PURGE,FUEL GAS,FOR PILOTS
FLARE GAS FROM 3-97-V-001 TO 3-97-PU-001,3-971-D BACK,FLARE DRUM
DEMI WATER FOR NAOH DILUTION CONTROL VALVE,DEMI FOR NAO,NAOH DIL FLW
DEMIN WATER TO UTILTIES DEAERATOR,3-90-TK-001,DEMI WTR TNK
STEAM INLET FLOW,STEAM IN,FLOW
STEAM EXTRACTION  FLOW,STEAM EXTR,FLOW
STEAM CONDENSING FLOW,STEAM COND,FLOW
3-88-P-201A PUMP STROKE CONTROL,3-88P-201A,PUMP CTRL
3-88-P-201B PUMP STROKE CONTROL,3-88P-201B,PUMP CTRL
3-88-P-501A PUMP STROKE CONTROL,3-88P-501A,PUMP CTRL
3-88-P-501B PUMP STROKE CONTROL,3-88P-501B,PUMP CTRL
3-91-P-201A PUMP STROKE CONTROL,3-91P-201A,PUMP CTRL
3-91-P-201B PUMP STROKE CONTROL,3-91P-201B,PUMP CTRL
3-91-P-202A PUMP STROKE CONTROL,3-91P-202A,PUMP CTRL
3-91-P-202B PUMP STROKE CONTROL,3-91P-202B,PUMP CTRL
3-92-P-101A PUMP STROKE CONTROL,3-92-P-101A,PUMP CTRL
3-92-P-101B PUMP STROKE CONTROL,3-92-P-101B,PUMP CTRL
AMMONIA DET. IN FLARE (INCLUDING KOD),NH3 DET FLAR,INCL KOD
Flammable gas detector (hydrocarbon) - Hazard. conv.,CH DETECT IN,AUX BFW DEAR
HYDROC. DET. IN FLARE (INCLUDING KOD),CH DETECT IN,FLARE+KOD
HYDROC. DET. IN NAT. GAS L.D. STAT.&GAS PIPELINE,CH DETECT IN,NAT GAS LD
"HYDROC. H IN AUX. BOILER, BFW PUMPS, DEAREAT. PKG",CH DETECT IN,AUX BFW DEAR
HYDROC. H ALARM IN FLARE (INCLUDING KOD),CH DETECT IN,FLARE+KOD
HYDROC. H ALARM IN NAT. GAS L.D. STAT.&GAS PIPELINE,CH DETECT IN,NAT GAS LD
"HYDROC. HH IN AUX. BOILER, BFW PUMPS, DEAREAT. PKG",CH DETECT IN,AUX BFW DEAR
HYDROC. HH ALARM DET. IN FLARE (INCLUDING KOD),CH DETECT IN,FLARE+KOD
HYDROC. HH ALARM IN NAT. GAS L.D. STAT.&GAS PIPELINE,CH DETECT IN,NAT GAS LD
"HYDROC. IND. IN AUX. BOILER, BFW PUMPS, DEAREAT. PKG",CH DETECT IN,AUX BFW DEAR
HYDROC. IND. IN FLARE (INCLUDING KOD),CH DETECT IN,FLARE+KOD
HYDROC. IND. IN NAT. GAS L.D. STAT.&GAS PIPELINE,CH DETECT IN,NAT GAS LD
AMMONIA H ALARM IN FLARE (INCLUDING KOD),CH DETECT IN,NAT GAS LD
AMMONIA HH ALARM IN FLARE (INCLUDING KOD),CH DETECT IN,NAT GAS LD
AMMONIA IND. IN FLARE (INCLUDING KOD),CH DETECT IN,NAT GAS LD
LOCAL EMERGENCY SHUTDOWN PUSHBUTTON,LOCAL EME,SHUTDWN PB
UCP EMERGENCY SHUTDOWN PUSHBUTTON,UCP EMERG,SHUTDWN PB
UCP ON/OFF CONTROL KEY,UCP,CONTROL KEY
CONTROL OIL PUMP A AUTO,CTRL OIL,PMP A AUTO
CONTROL OIL PUMP B AUTO,CTRL OIL,PMP B AUTO
TURNING GEAR IN AUTO,TURN GEAR,AUTO
MOS ENABLED UTILITIES SDC,MOS ENABLED,UTILITIES
ATLEAST ONE MOST ACTIVE UTILITIES SDC,ONE MOS,ACTVE UT
TO NATURAL GAS LETDOWN SYSTEM 3-001-80-PU,NAT GAS LDWN,SYS 3-80-PU-001
STEAM TURBINE GENERATION LAMP,STEAM TURBIN,LAMP
AIR COMPRESSOR 3-84-PU-001A TRIP LAMP,3-84-PU-001A,TRIP
AIR COMPRESSOR 3-84-PU-001B TRIP LAMP,3-84-PU-001B,TRIP
SODIUM HYPOCHLORITE UNLOADING / DISTRIBUTION PUMPS,NaCLO,UNLOAD PUMPS
SULFURIC ACID UNLOADING / DISTRIBUTION PUMPS,H2SO4 UNLOAD,PUMPS
CAUSTIC SODA UNLOADING PUMP 3-96-P-003 B,3-96-P-003B,NAOH PMP
INTEMITTENT BLOW DOWN TO 3-82-V-002,CTRL VLV,BLOWDOWN
BFW PUMPS (3-82-P-001A) TRIP/AUTOSTART,3-82-PM-001A,TRIP/AUTSTR
BFW PUMPS (3-82-P-001BA) TRIP/AUTOSTART,3-82-PM-001B,TRIP/AUTSTR
AUXILIARY BOILER (3-82-PU-001) ESD,AUX BOILER,ESD
MP/LP LET DOWN STATION,MP/LP LET,DOWN STATION
LP CONDENSATE PUMP (3-82-P-003 A/B) TRIP,3-82-P-003AB,TRIP
LP CONDENSATE FLASH DRUM,LP CONDENSAT,FLASH DRUM
STEAM TURBINE POWER GENERATION,STEAM TURBIN,PWR GEN
TURBINE CONDENSATE TRANSFER PUMPS,TURBINE COND,PUMPS
PLANT AIR CUT-OFF / STAND-BY COMPRESSOR,PLANT AIR,CUTOFF COMPR
"NSTRUMENT / PLANT AIR ""COMPRESSOR A""",AIR COMPRESS,A
"NSTRUMENT / PLANT AIR ""COMPRESSOR B""",AIR COMPRESS,B
EFFLUENT BASIN TRANSFER PUMPS,BASIN,EFFLUENT PMP
FIRST FLUSH STORMWATER BASIN,FIRST FLUSH,BASIN
CPI SUMP TRANSFER PUMPS,CPI SUMP,TRNSFER PMPS
CW CIRCULATION PUMPS,CW CIRCULAT,PUMPS
COOLING TOWER FAN A TRIP,COOLING TWR,FAN A TRIP
COOLING TOWER FAN B TRIP,COOLING TWR,FAN B TRIP
COOLING TOWER FAN C TRIP,COOLING TWR,FAN C TRIP
COOLING TOWER FAN D TRIP,COOLING TWR,FAN D TRIP
COOLING TOWER FAN E TRIP,COOLING TWR,FAN E TRIP
COOLING TOWER FAN F TRIP,COOLING TWR,FAN F TRIP
CW EMERGENCY PUMP (3-88-P-002) TRIP,3-88-P-002,TRIP
DEAERATOR (DEMIN WATER) FEED PUMPS,DEMI WATER,FEED PUMPS
RAW WATER INTAKE PUMPS,RAW WATER,INTAKE PMPS
POTABLE WATER PUMPS (3-92-P-001 A/B),3-92-P-001AB,POTBLE WTR
CW MAKE-UP AND MULTIMEDIA FILTERS,CW MAKEUP &,MULTI FILTER
SERVICE WATER (DEMIN FEED) PUMPS,SERV WTR,DEMI FED PMP
CLARIFIER FEED PUMPS (3-93-P-005 A/B),3-93-P-005AB,CLRF FD PMPS
SODIUM HYPOCHLORITE UNLOADING PUMPS,NaCLO,UNLOAD PUMPS
SULFURIC ACID UNLOADING PUMPS,H2SO4 UNLOAD,PUMPS
CAUSTIC SODA UNLOADING PUMPS,UNLDG PUMP,NAOH
AMMONIA FLARE K.O. DRUM DRAIN,NH3 KOD,DRAIN
MASTER MOS UTILITIES,MASTER MOS,UTILITIES
REMOVE ALL MOS UTILITIES,REMOVE ALL,MOS UTIL
LAMP TEST UTILITIES,LAMP TEST,UTILITIES
HORN ACKNOWLEDGEMENT UTILITIES,HORN ACKN,UTILITIES
3-80-V-101 INLET,3-80-V-101,INLET
STEAM TURBINE GENERATION MANUAL SHUTDOWN,STEAM TURBIN,LAMP
AIR COMPRESSOR 3-84-PU-001A TRIP,3-84-PU-001A,TRIP
AIR COMPRESSOR 3-84-PU-001B TRIP,3-84-PU-001B,TRIP
3-90-V-101A BACKPRESSURE WATER INLET VALVE,3-90-V-101A,BP WT IN VLV
3-90-V-101B BACKPRESSURE WATER INLET VALVE,3-90-V-101B,BP WT IN VLV
3-90-V-101C BACKPRESSURE WATER INLET VALVE,3-90-V-101C,BP WT IN VLV
3-90-V-101D BACKPRESSURE WATER INLET VALVE,3-90-V-101D,BP WT IN VLV
3-90-V-101A BACKWASH WATER OUTLET VALVE,3-90-V-101A,BW W OUT VLV
3-90-V-101B BACKWASH WATER OUTLET VALVE,3-90-V-101B,OUTLET VALVE
3-90-V-101C BACKWASH WATER OUTLET VALVE,3-90-V-101C,OUTLET VALVE
3-90-V-101D BACKWASH WATER OUTLET VALVE,3-90-V-101D,OUTLET VALVE
3-90-V-101A ELUATES OUTLET VALVE,3-90-V-101A,OUT VLV
3-90-V-101B ELUATES OUTLET VALVE,3-90-V-101B,OUT VALV
3-90-V-101C ELUATES OUTLET VALVE,3-90-V-101C,OUTLET VALVE
3-90-V-101D ELUATES OUTLET VALVE,3-90-V-101D,OUTLET VALVE
3-90-V-101A H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-101A,H2SO4 BW IN
3-90-V-101B H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-101B,H2SO4 BW IN
3-90-V-101C H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-101C,H2SO4 BW IN
3-90-V-101D H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-101D,H2SO4 BW IN
3-90-V-101A OUTLET VALVE,3-90-V-101A,OUTLET VALVE
3-90-V-101B OUTLET VALVE,3-90-V-101B,OUTLET VALVE
3-90-V-101C OUTLET VALVE,3-90-V-101C,OUTLET VALVE
3-90-V-101D OUTLET VALVE,3-90-V-101D,OUTLET VALVE
3-90-V-101A DRAIN VALVE,3-90-V-101A,DRAIN VALVE
3-90-V-101B DRAIN VALVE,3-90-V-101B,DRAIN VALVE
3-90-V-101C DRAIN VALVE,3-90-V-101C,DRAIN VALVE
3-90-V-101D DRAIN VALVE,3-90-V-101D,DRAIN VALVE
3-90-V-102A BACKPRESSURE WATER INLET VALVE,3-90-V-102A,BP WT IN VLV
3-90-V-102C BACKPRESSURE WATER INLET VALVE,3-90-V-102C,BP WT IN VLV
3-90-V-102A BACKWASH WATER OUTLET VALVE,3-90-V-102A,BW W OUTLET VLV
3-90-V-102B BACKWASH WATER OUTLET VALVE,3-90-V-102B,BW W OUT VLV
3-90-V-102C BACKWASH WATER OUTLET VALVE,3-90-V-102C,OUTLET VALVE
3-90-V-102D BACKWASH WATER OUTLET VALVE,3-90-V-102D,BW W OUT VLV
3-90-V-102A ELUATES OUTLET VALVE,3-90-V-102A,OUTLET VALVE
3-90-V-102B ELUATES OUTLET VALVE,3-90V-102B,OUT VLV
3-90-V-102C ELUATES OUTLET VALVE,3-90-V-102C,OUT VLV
3-90-V-102D ELUATES OUTLET VALVE,3-90-V-102D,OUTLET VALVE
3-90-V-102A H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-102A,H2SO4 BW IN
3-90-V-102B H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-102B,H2SO4 BW IN
3-90-V-102C H2SO4 / BACKWASH WATER INLET VALVE,3-90-V-102C,H2SO4 BW IN
3-90-V-102A OUTLET VALVE,3-90-V-102A,OUTLET VALVE
3-90-V-102B OUTLET VALVE,3-90-V-102B,OUTLET VALVE
3-90-V-102C OUTLET VALVE,3-90-V-102C,OUTLET VALVE
3-90-V-102D OUTLET VALVE,3-90-V-102D,OUTLET VALVE
3-90-V-102A DRAIN VALVE,3-90-V-102A,DRAIN VALVE
3-90-V-102B DRAIN VALVE,3-90-V-102B,DRAIN VALVE
3-90-V-102C DRAIN VALVE,3-90-V-102C,DRAIN VALVE
3-90-V-102D DRAIN VALVE,3-90-V-102D,DRAIN VALVE
3-90-V-103A  INLET VALVE,3-90-V-103A,INLET VALVE
3-90-V-103B  INLET VALVE,3-90-V-103B,INLET VALVE
3-90-V-103C  INLET VALVE,3-90-V-103C,INLET VALVE
3-90-V-103D  INLET VALVE,3-90-V-103D,INLET VALVE
3-90-V-103A BACKWASH OUTLET VALVE,3-90-V-103A,BW OUTLET
3-90-V-103B BACKWASH OUTLET VALVE,3-90-V-103B,BW OUT VLV
3-90-V-103C BACKWASH OUTLET VALVE,3-90-V-103C,BW OUTLET
3-90-V-103D BACKWASH OUTLET VALVE,3-90-V-103D,BW OUTLET
3-90-V-103A DEMI WATER INLET,3-90-V-103A,DW INLET
3-90-V-103B DEMI WATER INLET,3-90-V-103B,DW INLET
3-90-V-103C DEMI WATER INLET,3-90-V-103C,DW INLET
3-90-V-103D DEMI WATER INLET,3-90V-103D,DW INLET
3-90-V-103A NAOH INLET VALVE,3-90-V-103A,INLET VALVE
3-90-V-103B NAOH INLET VALVE,3-90-V-103B,NAOH IN
3-90-V-103C NAOH INLET VALVE,3-90-V-103C,NAOH IN
3-90-V-103D NAOH INLET VALVE,3-90-V-103D,NAOH IN
3-90-V-103A ELUATES DISCHARGE VALVE,3-90-V-103A,ELUATES OUT
3-90-V-103B ELUATES DISCHARGE VALVE,3-90-V-103B,ELUATES VLV
3-90-V-103C ELUATES DISCHARGE VALVE,3-90-V-103C,ELUATES VLV
3-90-V-103D ELUATES DISCHARGE VALVE,3-90-V-103D,ELUATES VLV
3-90-V-103A H2SO4 INLET VALVE,3-90-V-103A,H2SO4 IN VLV
3-90-V-103B H2SO4 INLET VALVE,3-90-V-103B,H2SO4 IN VLV
3-90-V-103C H2SO4 INLET VALVE,3-90V-103C,H2SO4 IN
3-90-V-103D H2SO4 INLET VALVE,3-90V-103D,H2SO4 IN
3-90-V-103A OUTLET VALVE,3-90-V-103A,OUTLET VALVE
3-90-V-103B OUTLET VALVE,3-90-V-103B,OUTLET VALVE
3-90-V-103C OUTLET VALVE,3-90-V-103C,OUTLET VALVE
3-90-V-103D OUTLET VALVE,3-90-V-103D,OUTLET VALVE
3-90-V-103A DRAIN VALVE,3-90-V-103A,DRAIN VALVE
3-90-V-103B DRAIN VALVE,3-90-V-103B,DRAIN VALVE
3-90-V-103C DRAIN VALVE,3-90-V-103C,DRAIN VALVE
3-90-V-103D DRAIN VALVE,3-90-V-103D,DRAIN VALVE
3-90-V-103A AIR INLET VALVE,3-90-V-103A,AIR IN VLV
3-90-V-103B AIR INLET VALVE,3-90-V-103B,AIR IN VLV
3-90-V-103C AIR INLET VALVE,3-90-V-103C,AIR IN VLV
3-90-V-103D AIR INLET VALVE,3-90-V-103D,AIR IN VLV
H2SO4 TO DILUTION VALVE,H2SO4->,DILUT VALVE
NAOH TO DILUTION VALVE,NAOH->,DILUTION VLV
3-90-TK-102 filling valve,3-90-TK-102,FILL VALVE
H2SO4 to neutralization pit,H2SO4->,NEUTRAL PIT
3-90-TK-103 filling valve,3-90-TK-103,FILL VALVE
NaOH to neutralization pit,NAOH->,NEUTRALIZING
Neutralization recirculation valve,NEUTRALZTIN,RECIRC VLV
SODIUM HYPOCHLORITE TANK 3-96-TK-001,NaCLO TANK,3-96-TK-001
Sulphuric Acid Storage Tank 3-96-TK-002,3-96-TK-002,H2SO4 TNK
UNLOAD / TRANSFER SWITCH FOR 3-LT-96300,UNLOAD/TRAS,SWITCH
UNLOAD / TRANSFER SWITCH FOR 3-LT-96301,UNLOAD/TRAS,SWITCH
MANUAL IGNITION PILOT 1,MANUAL IGNIT,PILOT 1
MANUAL IGNITION PILOT 2,MANUAL IGNIT,PILOT 2
MANUAL IGNITION PILOT 3,MANUAL IGNIT,PILOT 3
MANUAL IGNITION PILOT 4,MANUAL IGNIT,PILOT 4
FFG MANUAL IGNITION,FFG MANUAL,IGNITION
MANUAL SWITCH ON-OFF,MANUAL SWTCH,ON OFF
MANUAL/AUTO PILOTS,MANUAL/AUTO,PILOTS
3-80-PU-001-LVP-01 THYRISTOR PANEL,80PU001-LVP,THYR PANEL
BFW PUMP 3-82-PM-001A,3-82-PM-001A,BFW PUMP
BFW PUMP 3-82-PM-001B,3-82-PM-001B,BFW PUMP
LP CONDENSATE PUMP 3-82-003-PA,3-82-P-003A,LP COND PMP
LP CONDENSATE PUMP 3-82-P-003B,3-82-P-003B,LP COND PMP
FD FAN MOTOR PUMP 3-82-KM-101,3-82-KM-101,MOTOR FAN
FGR FAN MOTOR 3-82-KM-102,3-82-KM-102,MOTOR FAN
AMINE INJECT. DOSING PUMP 3-82-P-201A,3-82-P-201A,INJ. PUMP
AMINE INJECT. DOSING PUMP 3-82-P-201B,3-82-P-201B,INJ. PUMP
AMINE INJECT. DOSING PUMP 3-82-P-202,3-82-P-202,INJ. PUMP
O2 SCAVENGER INJECT. DOSING PUMP 3-82-P-301A,3-82-P-301A,O2 SCAV INJ
O2 SCAVENGER INJECT. DOSING PUMP 3-82-P-301B,3-82-P-301A,O2 SCAV INJ
O2 SCAVENGER INJECT. DOSING PUMP 3-82-P-302,3-82-P-302,O2 SCAV INJ
PHOSPHATE INJECTION DOSING PUMP 3-82-P-401A,3-82-P-401A,PHOS INJ DOS
PHOSPHATE INJECTION DOSING PUMP 3-82-P-401B,3-82-P-401B,PHOS INJ DOS
PHOSPHATE INJECTION DOSING PUMP 3-82-P-401C,3-82-P-401C,PHOS INJ DOS
PHOSPHATE INJECTION DOSING PUMP 3-82-P-402,3-82-P-402,PHOS INJ DOS
TURBINE CONDENSATE TRANSFER PUMP 3-83-P-001-A,3-83-P-001-A,COND TRASF
TURBINE CONDENSATE TRANSFER PUMP 3-83-P-001-B,3-83-P-001-B,COND TRASF
EFFLUENT BASIN TRANSFER PUMP 3-87-P-102A,3-87-P-102A,EFFLUENT PMP
EFFLUENT BASIN TRANSFER PUMP 3-87-P-102B,3-87-P-102B,EFFLUENT PMP
1ST  FLUSH STORMWATER BASIN TRANSFER PUMP,1ST FLUSH,TRSFER PUMP
CPI TREATMENT BASIN 3-87-BS-104,3-87-104-BS,BASIN
SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001A,3-88-P-001A,SYN COOL PMP
SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001B,3-88-P-001B,SYN COOL PMP
SYNLOOP/OSBL COOLING WATER PUMP 3-88-P-001C,3-88-P-001C,SYN COOL PMP
EMERGENY COOLING WATER PUMP 3-88-P-002,3-88-P-002,EMER COL PMP
COOLING TOWER FAN MOTOR 3-88-KM-101 A,3-88-KM-101A,FAN MOTOR
COOLING TOWER FAN MOTOR 3-88-KM-101 B,3-88-KM-101B,FAN MOTOR
COOLING TOWER FAN MOTOR 3-88-KM-101 C,3-88-KM-101C,FAN MOTOR
COOLING TOWER FAN MOTOR 3-88-KM-101 D,3-88-KM-101D,FAN MOTOR
COOLING TOWER FAN MOTOR 3-88-KM-101 F,3-88-KM-101E,FAN MOTOR
CORROSION INHIBITOR DOSING PUMP 3-88-P-201A,3-88-P-201A,COR INIB PMP
CORROSION INHIBITOR DOSING PUMP 3-88-P-201B,3-88-P-201B,COR INIB PMP
NAOH DOSING PUMP 3-88-P-301A,3-88-P-301A,NAOH PUMP
NAOH DOSING PUMP 3-88-P-301B,3-88-P-301B,NAOH PUMP
NON OXIDANT BIOCIDE DOSING PUMP 3-88-P-401A,3-88-P-401A,DOSING PMP
NON OXIDANT BIOCIDE DOSING PUMP 3-88-P-401B,3-88-P-401B,DOSING PMP
DISPERSANT INJECTION DOSING PUMP  3-88-P-501A,3-88-P-501A,DOSING PUMP
DISPERSANT INJECTION DOSING PUMP  3-88-P-501B,3-88-P-501B,DOSE PUMP
HYPOCHLORITE DOSING PUMP  3-88-P-601A,3-88-P-601A,HYPOCHRIDE
HYPOCHLORITE DOSING PUMP  3-88-P-601B,3-88-P-601B,HYPOCHRIDE
CL ENHANCER DOSING PUMP  3-88-P-701A,3-88-P-701A,CL PUMP
CL ENHANCER DOSING PUMP  3-88-P-701B,3-88-P-701B,CL PUMP
3-90-H-103 NAOH HEATER START/STOP,3-90-H-103,NAOH STOP
DEARATOR FEED PUMP 3-90-P-001 A,3-92-P-001A,DEAR PUMP
DEARATOR FEED PUMP 3-90-P-001 B,3-92-P-001B,DEAR PUMP
3-90-K-101A AIR FAN START/STOP,3-90-K-101A,AIR FAN STOP
3-90-K-101B AIR FAN START/STOP,3-90-K-101B,AIR FAN STOP
3-90-K-101C AIR FAN START/STOP,3-90-K-101C,AIR FAN STOP
3-90-K-101D AIR FAN START/STOP,3-90-K-101D,AIR FAN STOP
3-90-K-102A AIR BLOWER START/STOP,3-90-K-102A,STOP BLWR
3-90-K-102B AIR BLOWER START/STOP,3-90-K-102B,AIR BLR STOP
3-90-P-103A ANION EXCH. FEED PUMP START/STOP,3-90-P-103A,PUMP TRIP
3-90-P-103B ANION EXCH. FEED PUMP START/STOP,3-90-P-103B,PUMP TRIP
3-90-P-103C ANION EXCH. FEED PUMP START/STOP,3-90-P-103C,PUMP TRIP
3-90-P-104A NEUTRALIZATION PUMP START/STOP,3-90-P-104A,PUMP TRIP
3-90-P-104B NEUTRALIZATION PUMP START/STOP,3-90-P-104B,PUMP TRIP
3-90-P-105A H2SO4 DOSING PUMP START/STOP,3-90-P-105A,PUMP TRIP
3-90-P-105B H2SO4 DOSING PUMP START/STOP,3-90-P-105B,PUMP TRIP
3-90-P-106A NAOH DOSING PUMP START/STOP,3-90-P-106A,PUMP TRIP
3-90-P-106B NAOH DOSING PUMP START/STOP,3-90-P-106B,PUMP TRIP
3-90-P-107A REGENERATION WATER PUMP START/STOP,3-90-P-107A,PUMP TRIP
